,budget_(in_US-Dollars),revenue_(in_US-Dollars),profit_(in_US_Dollars),original_title,cast,director,tagline,runtime,genres,release_date,release_year
4581,12000000,66351,-11933649,Deadfall,Eric Bana|Olivia Wilde|Charlie Hunnam|Patrick Kerton|Kris Kristofferson,Stefan Ruzowitzky,Twisty thriller... a wild ride.,95,Crime|Drama|Thriller,2012-11-08,2012
4591,3000000,3010,-2996990,ATM,Alice Eve|Josh Peck|Brian Geraghty|Aaron Hughes|Will Woytowich,David Brooks,No warning. No control. No escape.,90,Horror|Thriller,2012-02-17,2012
4594,1800000,21107746,19307746,Beasts of the Southern Wild,QuvenzhanÃ© Wallis|Dwight Henry|Levy Easterly|Gina Montana|Lowell Landes,Benh Zeitlin,I  gotta take care of mine.,93,Drama|Fantasy,2012-06-29,2012
4603,20000000,4636169,-15363831,Fire with Fire,Bruce Willis|Josh Duhamel|Rosario Dawson|Vincent D'Onofrio|50 Cent,David Barrett,Revenge has its own set of rules.,97,Action|Crime|Drama|Thriller,2012-08-31,2012
4604,750000,4007792,3257792,Safety Not Guaranteed,Aubrey Plaza|Mark Duplass|Jake Johnson|Karan Soni|Jenica Bergere,Colin Trevorrow,What would you go back for?,85,Comedy|Romance|Science Fiction|Drama,2012-06-08,2012
4611,12000000,2521,-11997479,The Samaritan,Samuel L. Jackson|Luke Kirby|Ruth Negga|Tom Wilkinson|Alan C. Peterson,David Weaver,,90,Thriller,2012-03-02,2012
4614,17000000,9627492,-7372508,The Apparition,Ashley Greene|Sebastian Stan|Tom Felton|Julianna Guill|Luke Pasqualino,Todd Lincoln ,Once You Believe You Die,82,Horror|Thriller,2012-08-23,2012
4624,8000000,1653792,-6346208,2 Days in New York,Julie Delpy|Dylan Baker|Chris Rock|Albert Delpy|Vincent Gallo,Julie Delpy,,91,Comedy,2012-03-28,2012
4628,2500000,3325038,825038,Robot & Frank,Frank Langella|Liv Tyler|James Marsden|Susan Sarandon|Peter Sarsgaard,Jake Schreier,Friendship doesn't have an off switch,85,Science Fiction|Comedy|Drama|Crime,2012-08-16,2012
4635,20500000,6063556,-14436444,Cosmopolis,Robert Pattinson|Sarah Gadon|Juliette Binoche|Paul Giamatti|Samantha Morton,David Cronenberg,How far can he go before he goes too far?,109,Drama,2012-05-25,2012
4668,1500000,1938,-1498062,Best Man Down,Justin Long|Jess Weixler|Tyler Labine|Addison Timlin|Shelley Long,Ted Koland,,90,Comedy|Drama,2012-10-20,2012
4675,25,30,5,Joyful Noise,Queen Latifah|Dolly Parton|Keke Palmer|Kris Kristofferson|Courtney B. Vance,Todd Graff,Dream a whole lot louder,117,Comedy|Music,2012-01-13,2012
4680,6300000,419953,-5880047,Shadow Dancer,Andrea Riseborough|Clive Owen|Gillian Anderson|Aidan Gillen|Domhnall Gleeson,James Marsh,,101,Thriller,2012-02-12,2012
4707,500000,376597,-123403,Smashed,Mary Elizabeth Winstead|Aaron Paul|Octavia Spencer|Nick Offerman|Megan Mullally,James Ponsoldt,,85,Drama,2012-09-12,2012
4715,65000000,240159255,175159255,Resident Evil: Retribution,Milla Jovovich|Sienna Guillory|Michelle Rodriguez|Aryana Engineer|Li Bingbing,Paul W.S. Anderson,The Ultimate Battle Begins,95,Action|Horror|Science Fiction,2012-09-12,2012
4725,300000,2750275,2450275,Oh Boy,Tom Schilling|Marc Hosemann|Friederike Kempter|Justus von DohnÃ¡nyi|Katharina SchÃ¼ttler,Jan Ole Gerster,,88,Comedy|Drama,2012-07-03,2012
4737,5990000,19450000,13460000,Eega,Sudeep|Nani|Samantha Ruth Prabhu|Devadarshini|Thagubothu Ramesh,S.S. Rajamouli,,145,Science Fiction|Romance,2012-06-06,2012
4776,14000000,24637469,10637469,Sparkle,Whitney Houston|Cee Lo Green|Derek Luke|Mike Epps|Carmen Ejogo,Salim Akil,Celebrate the legend.,116,Drama|Music,2012-08-17,2012
4790,2840000,11620000,8780000,English Vinglish,Sridevi Kapoor|Priya Anand|Mehdi Nebbou|Adil Hussain|Ajith Kumar,Gauri Shinde,Sridevi vs Angrezi,133,Drama,2012-09-14,2012
4810,20000000,610792,-19389208,Not Fade Away,Bella Heathcote|Jack Huston|Dominique McElligott|Brad Garrett|Christopher McDonald,David Chase,there is no past no future either. just the Now--,112,Drama,2012-12-21,2012
4831,500000,1000000,500000,Redd Inc.,Nicholas Hope|Kelly Paterniti|Sam Reid,Daniel Krige,Heads Will Roll,93,Thriller|Horror|Comedy,2012-11-03,2012
4842,100000,95000,-5000,Stitches,Ross Noble|Tommy Knight|Gemma-Leah Devereux|John McDonnell,Conor McMahon,You'll die laughing...,86,Horror,2012-05-19,2012
4859,65000000,73706,-64926294,Foodfight!,Charlie Sheen|Wayne Brady|Hilary Duff|Eva Longoria|Christopher Lloyd,Lawrence Kasanoff,When good food... goes bad!,87,Animation|Action|Comedy|Family,2012-06-15,2012
4889,2500000,33400000,30900000,2016: Obama's America,,Dinesh D'Souza|John Sullivan,"Love Him, Hate Him, You Don't Know Him",87,Documentary,2012-07-13,2012
4903,12000000,32726956,20726956,Katy Perry: Part of Me,Katy Perry|Russell Brand|Shannon Woodward|Rachael Markarian|Mia Moretti,Dan Cutforth|Jane Lipsitz,Be yourself and you can be anything,93,Documentary|Music,2012-06-28,2012
4949,94000000,1118888979,1024888979,The Lord of the Rings: The Return of the King,Elijah Wood|Ian McKellen|Viggo Mortensen|Liv Tyler|Orlando Bloom,Peter Jackson,The eye of the enemy is moving.,201,Adventure|Fantasy|Action,2003-12-01,2003
4950,22000000,95708457,73708457,Underworld,Kate Beckinsale|Scott Speedman|Michael Sheen|Shane Brolly|Bill Nighy,Len Wiseman,An immortal battle for supremacy.,121,Fantasy|Action|Thriller,2003-09-19,2003
4951,140000000,655011224,515011224,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,Gore Verbinski,Prepare to be blown out of the water.,143,Adventure|Fantasy|Action,2003-07-09,2003
4952,30000000,180949000,150949000,Kill Bill: Vol. 1,Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,Quentin Tarantino,Go for the kill.,111,Action|Crime,2003-10-10,2003
4953,150000000,424988211,274988211,The Matrix Revolutions,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Mary Alice,Lilly Wachowski|Lana Wachowski,Everything that has a beginning has an end.,129,Adventure|Action|Thriller|Science Fiction,2003-11-05,2003
4954,150000000,738599701,588599701,The Matrix Reloaded,Keanu Reeves|Carrie-Anne Moss|Laurence Fishburne|Hugo Weaving|Helmut Bakaitis,Lilly Wachowski|Lana Wachowski,Free your mind.,138,Adventure|Action|Thriller|Science Fiction,2003-05-15,2003
4955,94000000,864625978,770625978,Finding Nemo,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Brad Garrett,Andrew Stanton|Lee Unkrich,"There are 3.7 trillion fish in the ocean, they're looking for one.",100,Animation|Family,2003-05-30,2003
4956,80000000,484572835,404572835,Bruce Almighty,Jim Carrey|Jennifer Aniston|Philip Baker Hall|Catherine Bell|Lisa Ann Walter,Tom Shadyac,In Bruce we trust,101,Fantasy|Comedy,2003-05-23,2003
4957,40000000,244931766,204931766,Love Actually,Bill Nighy|Gregor Fisher|Colin Firth|Sienna Guillory|Liam Neeson,Richard Curtis,The ultimate romantic comedy.,135,Comedy|Romance|Drama,2003-09-07,2003
4958,32000000,173398518,141398518,Elf,Will Ferrell|James Caan|Zooey Deschanel|Mary Steenburgen|Daniel Tay,Jon Favreau,"This holiday, discover your inner elf.",97,Romance|Comedy|Family|Fantasy,2003-10-09,2003
4959,200000000,435000000,235000000,Terminator 3: Rise of the Machines,Arnold Schwarzenegger|Nick Stahl|Claire Danes|Kristanna Loken|David Andrews,Jonathan Mostow,The Machines Will Rise.,109,Action|Thriller|Science Fiction,2003-07-02,2003
4960,15000000,15121165,121165,The Dreamers,Michael Pitt|Eva Green|Louis Garrel|Anna Chancellor|Robin Renucci,Bernardo Bertolucci,Together nothing is impossible. Together nothing is forbidden.,115,Drama|Romance,2003-09-01,2003
4961,70000000,122919055,52919055,Big Fish,Ewan McGregor|Albert Finney|Billy Crudup|Jessica Lange|Helena Bonham Carter,Tim Burton,An adventure as big as life itself.,125,Adventure|Fantasy|Drama,2003-12-25,2003
4962,78000000,179179718,101179718,Daredevil,Ben Affleck|Jennifer Garner|Colin Farrell|Michael Clarke Duncan|Jon Favreau,Mark Steven Johnson,A Guardian Devil,103,Fantasy|Action|Crime|Science Fiction|Thriller,2003-02-14,2003
4963,55000000,231449203,176449203,American Wedding,Jason Biggs|Alyson Hannigan|Seann William Scott|Eddie Kaye Thomas|Thomas Ian Nicholas,Jesse Dylan,Forever hold your piece.,103,Comedy|Romance,2003-08-01,2003
4964,78000000,179265204,101265204,The League of Extraordinary Gentlemen,Sean Connery|Peta Wilson|Shane West|Stuart Townsend|Jason Flemyng,Stephen Norrington,The power of seven become a league of one.,110,Fantasy|Action|Thriller|Science Fiction,2003-07-11,2003
4965,60000000,176070171,116070171,The Italian Job,Mark Wahlberg|Charlize Theron|Jason Statham|Edward Norton|Fausto Callegarini,F. Gary Gray,Get in. Get out. Get even.,111,Thriller|Action|Crime,2003-05-30,2003
4966,20000000,135680000,115680000,The Jungle Book 2,John Goodman|Haley Joel Osment|Mae Whitman|Phil Collins|Connor Funk,Steve Trenbirth,Feel the jungle beat,72,Family|Animation|Adventure,2003-02-07,2003
4967,4000000,119723856,115723856,Lost in Translation,Bill Murray|Scarlett Johansson|Anna Faris|Giovanni Ribisi|Akiko Takeshita,Sofia Coppola,Everyone wants to be found.,102,Drama,2003-08-31,2003
4968,23000000,76488889,53488889,Bad Santa,Billy Bob Thornton|Tony Cox|Brett Kelly|Lauren Graham|Bernie Mac,Terry Zwigoff,He doesn't care if you're naughty or nice.,91,Drama|Comedy|Crime,2003-11-25,2003
4969,40000000,160583018,120583018,Johnny English,Rowan Atkinson|John Malkovich|Natalie Imbruglia|Tasha de Vasconcelos|Ben Miller,Peter Howitt,"He knows no fear, he knows no danger, he knows nothing.",88,Adventure|Action|Comedy,2003-04-06,2003
4970,100000000,250,-99999750,Brother Bear,Joaquin Phoenix|Jeremy Suarez|Rick Moranis|Joan Copeland|Michael Clarke Duncan,Aaron Blaise|Robert Walker,The story of a boy who became a man by becoming a bear.,85,Animation|Adventure|Family|Fantasy,2003-10-20,2003
4971,100000000,121975011,21975011,Peter Pan,Jeremy Sumpter|Jason Isaacs|Rachel Hurd-Wood|Richard Briers|Olivia Williams,P.J. Hogan,All children grow up except one.,113,Adventure|Fantasy|Family,2003-12-25,2003
4972,48000000,220673217,172673217,Scary Movie 3,Pamela Anderson|Jenny McCarthy|Marny Eng|Charlie Sheen|Simon Rex,David Zucker,Great trilogies come in threes.,84,Comedy,2003-10-24,2003
4973,18000000,62646763,44646763,Honey,Jessica Alba|Mekhi Phifer|Joy Bryant|Romeo Miller|David Moscow,Bille Woodruff,Her dream. Her terms,94,Music,2003-11-24,2003
4974,36000000,44350926,8350926,A Man Apart,Vin Diesel|Larenz Tate|Timothy Olyphant|Geno Silva|Jacqueline Obradors,F. Gary Gray,Love changes a man. Revenge tears him apart.,109,Action|Drama,2003-04-04,2003
4975,35000000,131282949,96282949,The School of Rock,Jack Black|Joan Cusack|Mike White|Sarah Silverman|Adam Pascal,Richard Linklater,He just landed the gig of his life: 5th grade.,108,Comedy|Music,2003-10-03,2003
4976,140000000,456758981,316758981,The Last Samurai,Tom Cruise|Ken Watanabe|William Atherton|Chad Lindberg|Billy Connolly,Edward Zwick,"In the face of an enemy, in the Heart of One Man, Lies the Soul of a Warrior.",154,Drama|Action|War|History,2003-12-05,2003
4977,130000000,273339556,143339556,Bad Boys II,Martin Lawrence|Will Smith|Jordi MollÃ |Gabrielle Union|Peter Stormare,Michael Bay,"If you can't stand the heat, get out of Miami.",147,Adventure|Action|Comedy|Thriller|Crime,2003-07-18,2003
4978,95000000,156505388,61505388,Lara Croft Tomb Raider: The Cradle of Life,Angelina Jolie|Gerard Butler|Noah Taylor|Djimon Hounsou|Til Schweiger,Jan de Bont,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box,117,Action|Adventure|Fantasy|Thriller,2003-07-21,2003
4979,12600000,28650575,16050575,Wrong Turn,Desmond Harrington|Eliza Dushku|Emmanuelle Chriqui|Jeremy Sisto|Kevin Zegers,Rob Schmidt,It's the last one you'll ever take.,84,Horror|Thriller,2003-05-30,2003
4980,30000000,90259536,60259536,Identity,John Cusack|Ray Liotta|Amanda Peet|John Hawkes|Alfred Molina,James Mangold,The secret lies within.,90,Mystery|Thriller,2003-04-25,2003
4981,150000000,212011111,62011111,Master and Commander: The Far Side of the World,Russell Crowe|Paul Bettany|James D'Arcy|Billy Boyd|Joseph Morgan,Peter Weir,The Courage to Do the Impossible Lies in the Hearts of Men,138,Adventure,2003-11-14,2003
4983,25000000,156822020,131822020,Mystic River,Sean Penn|Tim Robbins|Kevin Bacon|Marcia Gay Harden|Kevin Chapman,Clint Eastwood,"We bury our sins, we wash them clean.",138,Thriller|Crime|Drama|Mystery,2003-10-07,2003
4985,75000000,195745823,120745823,Anger Management,Adam Sandler|Jack Nicholson|Luis GuzmÃ¡n|Marisa Tomei|January Jones,Peter Segal,Feel the Love.,106,Comedy,2003-04-11,2003
4986,60000000,74208267,14208267,The Core,Aaron Eckhart|Hilary Swank|Delroy Lindo|Stanley Tucci|TchÃ©ky Karyo,Jon Amiel,Earth has a deadline.,136,Action|Thriller|Adventure|Science Fiction,2003-03-28,2003
4987,137000000,245360480,108360480,Hulk,Eric Bana|Jennifer Connelly|Sam Elliott|Josh Lucas|Nick Nolte,Ang Lee,Unleash the hero within,138,Action|Science Fiction,2003-06-19,2003
4988,29000000,98185582,69185582,Once Upon a Time in Mexico,Antonio Banderas|Salma Hayek|Johnny Depp|Eva Mendes|Mickey Rourke,Robert Rodriguez,The Time Has Come.,102,Action,2003-09-11,2003
4990,24000000,87055349,63055349,Old School,Luke Wilson|Will Ferrell|Vince Vaughn|Ellen Pompeo|Leah Remini,Todd Phillips,"All the fun of college, none of the education.",91,Comedy,2003-02-21,2003
4991,50000000,177371441,127371441,How to Lose a Guy in 10 Days,Kate Hudson|Matthew McConaughey|Kathryn Hahn|Annie Parisse|Adam Goldberg,Donald Petrie,One of them is lying. So is the other.,116,Comedy|Romance,2003-02-07,2003
4992,50000000,88323487,38323487,Shanghai Knights,Jackie Chan|Owen Wilson|Fann Wong|Aaron Taylor-Johnson|Aidan Gillen,David Dobkin,A Royal Kick In The Arse.,115,Action|Adventure|Comedy|Western,2003-02-06,2003
4993,80000000,116643346,36643346,S.W.A.T.,Samuel L. Jackson|Colin Farrell|Michelle Rodriguez|LL Cool J|Josh Charles,Clark Johnson,You're either S.W.A.T. or you're not.,117,Action|Thriller|Crime,2003-08-08,2003
4994,70000000,85632458,15632458,Tears of the Sun,Bruce Willis|Monica Bellucci|Cole Hauser|Eamonn Walker|Johnny Messner,Antoine Fuqua,He was trained to follow orders. He became a hero by defying them.,121,Action|Drama|War,2003-03-07,2003
4995,45000000,124914842,79914842,"Legally Blonde 2: Red, White & Blonde",Reese Witherspoon|Sally Field|Regina King|Jennifer Coolidge|James Newman,Charles Herman-Wurmfeld,Bigger. Bolder. Blonder.,95,Comedy,2003-07-02,2003
4998,26000000,110230332,84230332,Freaky Friday,Jamie Lee Curtis|Lindsay Lohan|Mark Harmon|Harold Gould|Haley Hudson,Mark Waters,Mondays are manic. Wednesdays are wild. And Fridays are about to get a little freaky.,97,Comedy|Family|Fantasy,2003-08-03,2003
4999,60000000,26288320,-33711680,Sinbad: Legend of the Seven Seas,Brad Pitt|Catherine Zeta-Jones|Michelle Pfeiffer|Joseph Fiennes|Dennis Haysbert,Tim Johnson|Patrick Gilmore,,86,Family|Animation|Adventure,2003-07-02,2003
5000,80000000,19480739,-60519261,Timeline,Paul Walker|Frances O'Connor|Gerard Butler|Billy Connolly|David Thewlis,Richard Donner,They had to travel into the past to save the future,116,Action|Adventure|Science Fiction,2003-11-26,2003
5001,60000000,96269812,36269812,Paycheck,Ben Affleck|Aaron Eckhart|Uma Thurman|Paul Giamatti|Colm Feore,John Woo,Remember the future.,119,Action|Adventure|Mystery|Science Fiction|Thriller,2003-12-25,2003
5002,120000000,259175788,139175788,Charlie's Angels: Full Throttle,Cameron Diaz|Drew Barrymore|Lucy Liu|Bernie Mac|Robert Patrick,McG,This summer the Angels are back.,106,Action|Adventure|Comedy|Crime,2003-06-27,2003
5003,80000000,266728738,186728738,Something's Gotta Give,Jack Nicholson|Diane Keaton|Keanu Reeves|Frances McDormand|Amanda Peet,Nancy Meyers,Schmucks are people too.,128,Drama|Comedy|Romance,2003-12-12,2003
5004,90000000,182290266,92290266,The Haunted Mansion,Eddie Murphy|Terence Stamp|Nathaniel Parker|Marsha Thomason|Jennifer Tilly,Rob Minkoff,Check your pulse at the door... if you have one.,99,Thriller|Fantasy|Comedy|Family|Mystery,2003-11-25,2003
5005,40000000,19322135,-20677865,Duplex,Ben Stiller|Drew Barrymore|Eileen Essell|Amber Valletta|Justin Theroux,Danny DeVito,,89,Action|Comedy|Thriller,2003-09-26,2003
5006,40000000,141591324,101591324,Gothika,Halle Berry|Robert Downey Jr.|Charles S. Dutton|PenÃ©lope Cruz|John Carroll Lynch,Mathieu Kassovitz,Because someone is dead doesn't mean they're gone.,98,Horror|Thriller,2003-11-21,2003
5007,20000000,60427839,40427839,21 Grams,Sean Penn|Naomi Watts|Benicio del Toro|Danny Huston|Carly Nahon,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,How much does life weigh?,124,Drama|Crime|Thriller,2003-09-06,2003
5008,26000000,90426405,64426405,Final Destination 2,Ali Larter|A.J. Cook|Michael Landes|Tony Todd|Keegan Connor Tracy,David R. Ellis,Death is like a boomerang. it keeps coming back,90,Horror|Mystery,2003-01-31,2003
5010,9500000,107071655,97571655,The Texas Chainsaw Massacre,Jessica Biel|Jonathan Tucker|Erica Leerhsen|Mike Vogel|Eric Balfour,Marcus Nispel,What you know about fear... doesn't even come close.,98,Horror,2003-10-17,2003
5012,40000000,190212113,150212113,Cheaper by the Dozen,Steve Martin|Bonnie Hunt|Piper Perabo|Tom Welling|Hilary Duff,Shawn Levy,Growing pains? They've got twelve of them!,98,Comedy|Drama|Family,2003-12-24,2003
5013,79000000,173013509,94013509,Cold Mountain,Jude Law|Nicole Kidman|RenÃ©e Zellweger|Eileen Atkins|Brendan Gleeson,Anthony Minghella,Find the strength. Find the courage. No matter what it takes... find the way home.,154,Drama,2003-12-24,2003
5017,2000000,4601043,2601043,Thirteen,Evan Rachel Wood|Nikki Reed|Vanessa Hudgens|Holly Hunter|Brady Corbet,Catherine Hardwicke,It's happening so fast.,100,Drama,2003-08-20,2003
5018,30000000,114908830,84908830,Freddy vs. Jason,Robert Englund|Ken Kirzinger|Jason Ritter|Monica Keena|Lochlyn Munro,Ronny Yu,Evil Will Battle Evil,97,Horror,2003-08-15,2003
5019,25000000,56489558,31489558,Cradle 2 the Grave,Jet Li|DMX|Kelly Hu|Anthony Anderson|Tom Arnold,Andrzej Bartkowiak,Mortal enemies make dangerous friends.,101,Action|Crime|Drama,2003-02-28,2003
5021,80000000,68514844,-11485156,Looney Tunes: Back in Action,Brendan Fraser|Jenna Elfman|Steve Martin|Timothy Dalton|Heather Locklear,Joe Dante,Real life has never been so animated.,90,Animation|Comedy|Family,2003-11-14,2003
5022,50000000,42792561,-7207439,Basic,John Travolta|Connie Nielsen|Samuel L. Jackson|Giovanni Ribisi|Tim Daly,John McTiernan,Deception is their most deadly weapon.,98,Action|Drama|Mystery|Thriller|Crime,2003-04-18,2003
5023,85000000,80916492,-4083508,The Rundown,"Dwayne Johnson|Seann William Scott|Rosario Dawson|Christopher Walken|Ernie Reyes, Jr.",Peter Berg,cut to the chase,104,Adventure|Action|Comedy|Thriller,2003-09-26,2003
5025,76000000,236350661,160350661,2 Fast 2 Furious,Paul Walker|Tyrese Gibson|Eva Mendes|Cole Hauser|Ludacris,John Singleton,How Fast Do You Want It?,107,Action|Crime|Thriller,2003-06-05,2003
5031,22000000,68296293,46296293,Open Range,Kevin Costner|Robert Duvall|Michael Gambon|Michael Jeter|Diego Luna,Kevin Costner,No place to run. No reason to hide.,139,Western,2003-08-29,2003
5032,18000000,101564935,83564935,Just Married,Ashton Kutcher|Brittany Murphy|Christian Kane|David Moscow|Alex Thomas,Shawn Levy,Welcome to the honeymoon from hell.,95,Comedy,2003-01-09,2003
5035,60000000,164433867,104433867,Daddy Day Care,Eddie Murphy|Jeff Garlin|Steve Zahn|Regina King|Kevin Nealon,Steve Carr,Who's your daddy?,92,Comedy|Family,2003-05-03,2003
5037,87000000,148336445,61336445,Seabiscuit,Jeff Bridges|David McCullough|Chris Cooper|Tobey Maguire|Elizabeth Banks,Gary Ross,The hopes of a nation rode on a long shot.,141,Drama|History,2003-07-22,2003
5038,50000000,55495563,5495563,Out of Time,Denzel Washington|Eva Mendes|Sanaa Lathan|John Billingsley|Dean Cain,Carl Franklin,The Clock Is Ticking...,105,Thriller|Crime|Drama,2003-10-03,2003
5039,17000000,63102666,46102666,Jeepers Creepers 2,Ray Wise|Jonathan Breck|Garikayi Mutambirwa|Eric Nenninger|Josh Hammond,Victor Salva,He can taste your fear.,104,Horror|Thriller,2003-08-08,2003
5040,17000000,55534455,38534455,The Lizzie McGuire Movie,Hilary Duff|Adam Lamberg|Hallie Todd|Robert Carradine|Jake Thomas,Jim Fall,The only risk in taking an adventure is not taking it at all.,94,Comedy|Adventure|Family,2003-04-25,2003
5041,68000000,75715436,7715436,Dreamcatcher,Morgan Freeman|Thomas Jane|Jason Lee|Damian Lewis|Timothy Olyphant,Lawrence Kasdan,A circle of friendship. A web of mystery. A pattern of fear.,136,Drama|Horror|Science Fiction|Thriller,2003-03-21,2003
5045,38000000,197011982,159011982,Spy Kids 3-D: Game Over,Antonio Banderas|Carla Gugino|Alexa PenaVega|Daryl Sabara|Sylvester Stallone,Robert Rodriguez,3rd Mission. 3rd Dimension.,84,Action|Adventure|Comedy|Family|Science Fiction,2003-07-25,2003
5046,35000000,20298207,-14701793,Down with Love,RenÃ©e Zellweger|Ewan McGregor|Sarah Paulson|David Hyde Pierce|Rachel Dratch,Peyton Reed,The ultimate catch has met his match,101,Action|Comedy|Romance|Thriller,2003-05-08,2003
5047,35000000,11560806,-23439194,The Order,Heath Ledger|Shannyn Sossamon|Benno FÃ¼rmann|Mark Addy|Peter Weller,Brian Helgeland,Every soul has its price.,102,Drama|Fantasy|Horror|Mystery|Romance,2003-09-05,2003
5048,60000000,119940815,59940815,Intolerable Cruelty,George Clooney|Catherine Zeta-Jones|Edward Herrmann|Geoffrey Rush|Richard Jenkins,Joel Coen,They can't keep their hands off each others assets.,100,Crime|Comedy|Romance,2003-09-02,2003
5049,55000000,34234008,-20765992,The Hunted,Tommy Lee Jones|Benicio del Toro|Connie Nielsen|Leslie Stefanson|John Finn,William Friedkin,Some men should not be found.,94,Drama|Action|Thriller|Crime,2003-03-11,2003
5050,16500000,16942795,442795,House of Sand and Fog,Jennifer Connelly|Ben Kingsley|Ron Eldard|Frances Fisher|Kim Dickens,Vadim Perelman,Some dreams can't be shared.,126,Drama,2003-12-19,2003
5054,1500000,30553394,29053394,Cabin Fever,Rider Strong|Jordan Ladd|James DeBello|Cerina Vincent|Joey Kern,Eli Roth,Terrorâ€¦ in the flesh.,93,Horror,2003-08-15,2003
5055,60000000,80154140,20154140,Runaway Jury,John Cusack|Gene Hackman|Dustin Hoffman|Rachel Weisz|Bruce McGill,Gary Fleder,Trials are too important to be decided by juries.,127,Drama|Thriller,2003-10-09,2003
5059,8000000,60378584,52378584,Monster,Charlize Theron|Christina Ricci|Bruce Dern|Lee Tergesen|Annie Corley,Patty Jenkins,Based on a true story.,110,Crime|Drama,2003-11-16,2003
5060,12000000,23,-11999977,In the Cut,Meg Ryan|Mark Ruffalo|Jennifer Jason Leigh|Nick Damici|Heather Litteer,Jane Campion,Everything you know about desire is dead wrong.,119,Thriller|Mystery,2003-09-09,2003
5062,20000000,132675402,112675402,Bringing Down The House,Steve Martin|Queen Latifah|Eugene Levy|Joan Plowright|Jean Smart,Adam Shankman,"Everything he needed to know about life, she learned in prison.",105,Comedy,2003-03-07,2003
5064,54000000,7266209,-46733791,Gigli,Ben Affleck|Jennifer Lopez|Justin Bartha|Lainie Kazan|Lenny Venito,Martin Brest,Life doesn't play by the rules.,121,Drama,2003-08-01,2003
5065,56000000,12923936,-43076064,Gods and Generals,Stephen Lang|Jeff Daniels|Robert Duvall|Kevin Conway|C. Thomas Howell,Ronald F. Maxwell,The nations heart was touched by...,214,Drama|History|War,2003-02-21,2003
5067,6000000,2,-5999998,Shattered Glass,Hayden Christensen|Peter Sarsgaard|ChloÃ« Sevigny|Rosario Dawson|Melanie Lynskey,Billy Ray,,94,Drama|History,2003-11-14,2003
5068,19000000,39267515,20267515,Dumb and Dumberer: When Harry Met Lloyd,Mimi Rogers|Eric Christian Olsen|Luis GuzmÃ¡n|Rachel Nichols|Eugene Levy,Troy Miller,The evolution of dumb...,85,Comedy,2003-06-13,2003
5075,20000000,37095657,17095657,Uptown Girls,Brittany Murphy|Dakota Fanning|Marley Shelton|Donald Faison|Jesse Spencer,Boaz Yakin,They're about to teach each other how to act their age.,92,Comedy,2003-08-15,2003
5076,5000000,742898,-4257102,Party Monster,Seth Green|Macaulay Culkin|ChloÃ« Sevigny|Diana Scarwid|Marilyn Manson,Fenton Bailey|Randy Barbato,,98,Comedy|Drama|Crime,2003-09-05,2003
5078,50000000,38955598,-11044402,The Life of David Gale,Kevin Spacey|Kate Winslet|Laura Linney|Gabriel Mann|Rhona Mitra,Alan Parker,The crime is clear. The truth is not.,130,Drama|Thriller|Crime,2003-02-21,2003
5080,3000000,10012022,7012022,Elephant,Alex Frost|Eric Deulen|John Robinson|Elias McConnell|Jordan Taylor,Gus Van Sant,An ordinary high school day. Except that it's not.,81,Drama|Crime,2003-05-18,2003
5082,7000000,13818181,6818181,House of the Dead,Jonathan Cherry|Tyron Leitso|Clint Howard|Ona Grauer|Michael Eklund,Uwe Boll,You won't last the night.,90,Horror|Action|Thriller,2003-04-11,2003
5083,8000000,41400000,33400000,Whale Rider,Keisha Castle-Hughes|Rawiri Paratene|Vicky Haughton|Cliff Curtis|Grant Roa,Niki Caro,,101,Drama|Family,2003-01-30,2003
5087,7000000,16829545,9829545,House of 1000 Corpses,Sid Haig|Bill Moseley|Sheri Moon Zombie|Karen Black|Erin Daniels,Rob Zombie,You'll never get out alive.,89,Horror,2003-04-11,2003
5088,20000000,17432163,-2567837,A Guy Thing,Jason Lee|Julia Stiles|Selma Blair|James Brolin|Shawn Hatosy,Chris Koch,Boy meets girl. Boy meets girl's cousin.,101,Comedy|Romance,2003-01-17,2003
5090,32000000,52277485,20277485,Radio,Cuba Gooding Jr.|Ed Harris|Alfre Woodard|S. Epatha Merkerson|Debra Winger,Mike Tollin,His courage made them champions.,109,Drama,2003-10-24,2003
5091,6400000,2500000,-3900000,Young Adam,Ewan McGregor|Tilda Swinton|Peter Mullan|Emily Mortimer|Jack McElhone,David Mackenzie,Everyone has a past. Everyone has a secret.,93,Drama|Thriller|Crime|Romance,2003-09-26,2003
5097,75000000,51142659,-23857341,Hollywood Homicide,Harrison Ford|Josh Hartnett|Lena Olin|Bruce Greenwood|Isaiah Washington,Ron Shelton,,116,Action|Adventure|Comedy|Thriller,2003-06-09,2003
